date,rate,from_currency,to_currency
2014-11-07,263.33,GBP,NGN
2014-11-10,266.98,GBP,NGN
2014-11-11,268.53,GBP,NGN
2014-11-12,267.56,GBP,NGN
2014-11-13,270.91,GBP,NGN
2014-11-14,268.28,GBP,NGN
2014-11-17,270.72,GBP,NGN
2014-11-18,270.86,GBP,NGN
2014-11-19,272.86,GBP,NGN
2014-11-20,276.56,GBP,NGN
2014-11-21,277.68,GBP,NGN
2014-11-24,272.89,GBP,NGN
2014-11-25,278.69,GBP,NGN
2014-11-26,279.32,GBP,NGN
2014-11-27,278.26,GBP,NGN
2014-11-28,279.59,GBP,NGN
2014-12-01,289.7,GBP,NGN
2014-12-02,281.03,GBP,NGN
2014-12-03,280.88,GBP,NGN
2014-12-04,280.65,GBP,NGN
2014-12-05,279.46,GBP,NGN
2014-12-08,281.91,GBP,NGN
2014-12-09,288.64,GBP,NGN
2014-12-10,283.02,GBP,NGN
2014-12-11,284.52,GBP,NGN
2014-12-12,282.69,GBP,NGN
2014-12-15,279.67,GBP,NGN
2014-12-16,284.59,GBP,NGN
2014-12-17,291.12,GBP,NGN
2014-12-18,289.32,GBP,NGN
2014-12-19,288.57,GBP,NGN
2014-12-22,287.84,GBP,NGN
2014-12-23,283,GBP,NGN
2014-12-24,284.7,GBP,NGN
2014-12-25,284.59,GBP,NGN
2014-12-26,284.61,GBP,NGN
2014-12-30,285.73,GBP,NGN
2014-12-31,286.04,GBP,NGN
2015-01-01,286.1,GBP,NGN
2015-01-02,281.36,GBP,NGN
2015-01-05,280.15,GBP,NGN
2015-01-06,278.08,GBP,NGN
2015-01-07,276.74,GBP,NGN
2015-01-08,271.62,GBP,NGN
2015-01-09,275.01,GBP,NGN
2015-01-12,273.34,GBP,NGN
2015-01-13,278.45,GBP,NGN
2015-01-14,279.72,GBP,NGN
2015-01-15,281.98,GBP,NGN
2015-01-16,281.29,GBP,NGN
2015-01-19,283.69,GBP,NGN
2015-01-20,286.98,GBP,NGN
2015-01-21,280.42,GBP,NGN
2015-01-22,282.02,GBP,NGN
2015-01-23,286.94,GBP,NGN
2015-01-26,288.68,GBP,NGN
2015-01-27,291.86,GBP,NGN
2015-01-28,287.73,GBP,NGN
2015-01-29,284.96,GBP,NGN
2015-01-30,287.23,GBP,NGN
2015-02-02,284.22,GBP,NGN
2015-02-03,288.02,GBP,NGN
2015-02-04,292.09,GBP,NGN
2015-02-05,295.02,GBP,NGN
2015-02-06,295.72,GBP,NGN
2015-02-09,298.47,GBP,NGN
2015-02-10,305.09,GBP,NGN
2015-02-11,311,GBP,NGN
2015-02-12,315.28,GBP,NGN
2015-02-13,315.24,GBP,NGN
2015-02-16,306.59,GBP,NGN
2015-02-17,307.14,GBP,NGN
2015-02-18,305.87,GBP,NGN
2015-02-19,306.89,GBP,NGN
2015-02-20,308.12,GBP,NGN
2015-02-23,310.14,GBP,NGN
2015-02-24,310.77,GBP,NGN
2015-02-25,313.07,GBP,NGN
2015-02-26,311.46,GBP,NGN
2015-02-27,312.78,GBP,NGN
2015-03-02,309.04,GBP,NGN
2015-03-03,308.26,GBP,NGN
2015-03-04,305.08,GBP,NGN
2015-03-05,305.14,GBP,NGN
2015-03-06,300.13,GBP,NGN
2015-03-09,301.8,GBP,NGN
2015-03-10,300.77,GBP,NGN
2015-03-11,298.06,GBP,NGN
2015-03-12,297.21,GBP,NGN
2015-03-13,294.63,GBP,NGN
2015-03-16,296.13,GBP,NGN
2015-03-17,294.66,GBP,NGN
2015-03-18,297.93,GBP,NGN
2015-03-19,293.89,GBP,NGN
2015-03-20,297.78,GBP,NGN
2015-03-23,298.15,GBP,NGN
2015-03-24,295.57,GBP,NGN
2015-03-25,296.35,GBP,NGN
2015-03-26,295.68,GBP,NGN
2015-03-27,296.29,GBP,NGN
2015-03-30,294.95,GBP,NGN
2015-03-31,295.33,GBP,NGN
2015-04-01,295.36,GBP,NGN
2015-04-02,295.46,GBP,NGN
2015-04-03,297.12,GBP,NGN
2015-04-06,296.53,GBP,NGN
2015-04-07,295.21,GBP,NGN
2015-04-08,296.26,GBP,NGN
2015-04-09,293.07,GBP,NGN
2015-04-10,291.41,GBP,NGN
2015-04-13,292.17,GBP,NGN
2015-04-14,294.27,GBP,NGN
2015-04-15,295.23,GBP,NGN
2015-04-16,297.36,GBP,NGN
2015-04-17,297.89,GBP,NGN
2015-04-20,296.71,GBP,NGN
2015-04-21,297.23,GBP,NGN
2015-04-22,299.35,GBP,NGN
2015-04-23,299.79,GBP,NGN
2015-04-24,302.51,GBP,NGN
2015-04-27,301.79,GBP,NGN
2015-04-28,305.44,GBP,NGN
2015-04-29,307.18,GBP,NGN
2015-04-30,304.28,GBP,NGN
2015-05-01,300,GBP,NGN
2015-05-04,301.06,GBP,NGN
2015-05-05,302.07,GBP,NGN
2015-05-06,303.55,GBP,NGN
2015-05-07,307.05,GBP,NGN
2015-05-08,307.91,GBP,NGN
2015-05-11,310.26,GBP,NGN
2015-05-12,312.03,GBP,NGN
2015-05-13,313.52,GBP,NGN
2015-05-14,314.19,GBP,NGN
2015-05-15,313.07,GBP,NGN
2015-05-18,311.85,GBP,NGN
2015-05-19,308.96,GBP,NGN
2015-05-20,309.34,GBP,NGN
2015-05-21,311.9,GBP,NGN
2015-05-22,308.52,GBP,NGN
2015-05-25,308.13,GBP,NGN
2015-05-26,306.59,GBP,NGN
2015-05-27,305.68,GBP,NGN
2015-05-28,305.07,GBP,NGN
2015-05-29,304.6,GBP,NGN
2015-06-01,301.23,GBP,NGN
2015-06-02,305.44,GBP,NGN
2015-06-03,305.24,GBP,NGN
2015-06-04,305.71,GBP,NGN
2015-06-05,303.91,GBP,NGN
2015-06-08,305.34,GBP,NGN
2015-06-09,306.25,GBP,NGN
2015-06-10,308.75,GBP,NGN
2015-06-11,308.78,GBP,NGN
2015-06-12,309.79,GBP,NGN
2015-06-15,310.6,GBP,NGN
2015-06-16,311.59,GBP,NGN
2015-06-17,315.07,GBP,NGN
2015-06-18,316.16,GBP,NGN
2015-06-19,316.19,GBP,NGN
2015-06-22,314.84,GBP,NGN
2015-06-23,313.2,GBP,NGN
2015-06-24,312.62,GBP,NGN
2015-06-25,313.27,GBP,NGN
2015-06-26,313.43,GBP,NGN
2015-06-29,313.1,GBP,NGN
2015-06-30,312.28,GBP,NGN
2015-07-01,311.03,GBP,NGN
2015-07-02,310.75,GBP,NGN
2015-07-03,310.03,GBP,NGN
2015-07-06,310.59,GBP,NGN
2015-07-07,307.78,GBP,NGN
2015-07-08,305.81,GBP,NGN
2015-07-09,306.14,GBP,NGN
2015-07-10,308.88,GBP,NGN
2015-07-13,308.4,GBP,NGN
2015-07-14,311.24,GBP,NGN
2015-07-15,311.31,GBP,NGN
2015-07-16,310.69,GBP,NGN
2015-07-17,310.7,GBP,NGN
2015-07-20,309.83,GBP,NGN
2015-07-21,309.85,GBP,NGN
2015-07-22,310.83,GBP,NGN
2015-07-23,308.9,GBP,NGN
2015-07-24,308.77,GBP,NGN
2015-07-27,309.8,GBP,NGN
2015-07-28,310.85,GBP,NGN
2015-07-29,310.8,GBP,NGN
2015-07-30,310.54,GBP,NGN
2015-07-31,308.68,GBP,NGN
2015-08-03,310.4,GBP,NGN
