date,from_currency,to_currency,rate,source,currency_pair
2025-06-08,EUR,GHS,12.3816,unknown,EUR/GHS
2025-06-09,EUR,GHS,12.32,unknown,EUR/GHS
2014-11-07,EUR,KES,111.815,alpha_vantage,EUR/KES
2014-11-10,EUR,KES,111.616,alpha_vantage,EUR/KES
2014-11-11,EUR,KES,112.316,alpha_vantage,EUR/KES
2014-11-12,EUR,KES,111.993,alpha_vantage,EUR/KES
2014-11-13,EUR,KES,112.585,alpha_vantage,EUR/KES
2014-11-14,EUR,KES,112.713,alpha_vantage,EUR/KES
2014-11-17,EUR,KES,112.034,alpha_vantage,EUR/KES
2014-11-18,EUR,KES,112.891,alpha_vantage,EUR/KES
2014-11-19,EUR,KES,113.039,alpha_vantage,EUR/KES
2014-11-20,EUR,KES,113.001,alpha_vantage,EUR/KES
2014-11-21,EUR,KES,111.72,alpha_vantage,EUR/KES
2014-11-24,EUR,KES,112.266,alpha_vantage,EUR/KES
2014-11-25,EUR,KES,112.698,alpha_vantage,EUR/KES
2014-11-26,EUR,KES,112.67,alpha_vantage,EUR/KES
2014-11-27,EUR,KES,112.342,alpha_vantage,EUR/KES
2014-11-28,EUR,KES,112.314,alpha_vantage,EUR/KES
2014-12-01,EUR,KES,112.556,alpha_vantage,EUR/KES
2014-12-02,EUR,KES,111.942,alpha_vantage,EUR/KES
2014-12-03,EUR,KES,111.191,alpha_vantage,EUR/KES
2014-12-04,EUR,KES,111.829,alpha_vantage,EUR/KES
2014-12-05,EUR,KES,110.999,alpha_vantage,EUR/KES
2014-12-08,EUR,KES,111.374,alpha_vantage,EUR/KES
2014-12-09,EUR,KES,112.056,alpha_vantage,EUR/KES
2014-12-10,EUR,KES,112.941,alpha_vantage,EUR/KES
2014-12-11,EUR,KES,112.264,alpha_vantage,EUR/KES
2014-12-12,EUR,KES,112.773,alpha_vantage,EUR/KES
2014-12-15,EUR,KES,112.65,alpha_vantage,EUR/KES
2014-12-16,EUR,KES,113.408,alpha_vantage,EUR/KES
2014-12-17,EUR,KES,111.54,alpha_vantage,EUR/KES
2014-12-18,EUR,KES,111.176,alpha_vantage,EUR/KES
2014-12-19,EUR,KES,110.658,alpha_vantage,EUR/KES
2014-12-22,EUR,KES,110.522,alpha_vantage,EUR/KES
2014-12-23,EUR,KES,110.206,alpha_vantage,EUR/KES
2014-12-24,EUR,KES,110.515,alpha_vantage,EUR/KES
2014-12-25,EUR,KES,110.754,alpha_vantage,EUR/KES
2014-12-26,EUR,KES,110.365,alpha_vantage,EUR/KES
2014-12-30,EUR,KES,110.186,alpha_vantage,EUR/KES
2014-12-31,EUR,KES,109.655,alpha_vantage,EUR/KES
2015-01-01,EUR,KES,109.691,alpha_vantage,EUR/KES
2015-01-02,EUR,KES,109.001,alpha_vantage,EUR/KES
2015-01-05,EUR,KES,108.217,alpha_vantage,EUR/KES
2015-01-06,EUR,KES,107.788,alpha_vantage,EUR/KES
2015-01-07,EUR,KES,108.048,alpha_vantage,EUR/KES
2015-01-08,EUR,KES,107.383,alpha_vantage,EUR/KES
2015-01-09,EUR,KES,107.847,alpha_vantage,EUR/KES
2015-01-12,EUR,KES,108.026,alpha_vantage,EUR/KES
2015-01-13,EUR,KES,107.385,alpha_vantage,EUR/KES
2015-01-14,EUR,KES,107.745,alpha_vantage,EUR/KES
2015-01-15,EUR,KES,106.233,alpha_vantage,EUR/KES
2015-01-16,EUR,KES,105.91,alpha_vantage,EUR/KES
2015-01-19,EUR,KES,106.213,alpha_vantage,EUR/KES
2015-01-20,EUR,KES,105.705,alpha_vantage,EUR/KES
2015-01-21,EUR,KES,106.333,alpha_vantage,EUR/KES
2015-01-22,EUR,KES,103.777,alpha_vantage,EUR/KES
2015-01-23,EUR,KES,102.689,alpha_vantage,EUR/KES
2015-01-26,EUR,KES,103.314,alpha_vantage,EUR/KES
2015-01-27,EUR,KES,104.334,alpha_vantage,EUR/KES
2015-01-28,EUR,KES,103.428,alpha_vantage,EUR/KES
2015-01-29,EUR,KES,103.889,alpha_vantage,EUR/KES
2015-01-30,EUR,KES,103.376,alpha_vantage,EUR/KES
2015-02-02,EUR,KES,103.866,alpha_vantage,EUR/KES
2015-02-03,EUR,KES,104.872,alpha_vantage,EUR/KES
2015-02-04,EUR,KES,103.836,alpha_vantage,EUR/KES
2015-02-05,EUR,KES,104.802,alpha_vantage,EUR/KES
2015-02-06,EUR,KES,103.311,alpha_vantage,EUR/KES
2015-02-09,EUR,KES,103.677,alpha_vantage,EUR/KES
2015-02-10,EUR,KES,103.725,alpha_vantage,EUR/KES
2015-02-11,EUR,KES,103.77,alpha_vantage,EUR/KES
2015-02-12,EUR,KES,104.461,alpha_vantage,EUR/KES
2015-02-13,EUR,KES,104.183,alpha_vantage,EUR/KES
2015-02-16,EUR,KES,103.967,alpha_vantage,EUR/KES
2015-02-17,EUR,KES,104.29,alpha_vantage,EUR/KES
2015-02-18,EUR,KES,104.148,alpha_vantage,EUR/KES
2015-02-19,EUR,KES,103.979,alpha_vantage,EUR/KES
2015-02-20,EUR,KES,104.108,alpha_vantage,EUR/KES
2015-02-23,EUR,KES,103.683,alpha_vantage,EUR/KES
2015-02-24,EUR,KES,103.625,alpha_vantage,EUR/KES
2015-02-25,EUR,KES,103.775,alpha_vantage,EUR/KES
2015-02-26,EUR,KES,102.463,alpha_vantage,EUR/KES
2015-02-27,EUR,KES,102.281,alpha_vantage,EUR/KES
2015-03-02,EUR,KES,102.25,alpha_vantage,EUR/KES
2015-03-03,EUR,KES,102.156,alpha_vantage,EUR/KES
2015-03-04,EUR,KES,100.99,alpha_vantage,EUR/KES
2015-03-05,EUR,KES,100.549,alpha_vantage,EUR/KES
2015-03-06,EUR,KES,98.878,alpha_vantage,EUR/KES
2015-03-09,EUR,KES,99.206,alpha_vantage,EUR/KES
2015-03-10,EUR,KES,97.859,alpha_vantage,EUR/KES
2015-03-11,EUR,KES,96.684,alpha_vantage,EUR/KES
2015-03-12,EUR,KES,97.448,alpha_vantage,EUR/KES
2015-03-13,EUR,KES,96.355,alpha_vantage,EUR/KES
2015-03-16,EUR,KES,97.328,alpha_vantage,EUR/KES
2015-03-17,EUR,KES,97.553,alpha_vantage,EUR/KES
2015-03-18,EUR,KES,99.515,alpha_vantage,EUR/KES
2015-03-19,EUR,KES,98.138,alpha_vantage,EUR/KES
2015-03-20,EUR,KES,99.542,alpha_vantage,EUR/KES
2015-03-23,EUR,KES,100.821,alpha_vantage,EUR/KES
2015-03-24,EUR,KES,100.156,alpha_vantage,EUR/KES
2015-03-25,EUR,KES,100.701,alpha_vantage,EUR/KES
2015-03-26,EUR,KES,100.133,alpha_vantage,EUR/KES
2015-03-27,EUR,KES,100.351,alpha_vantage,EUR/KES
2015-03-30,EUR,KES,100.044,alpha_vantage,EUR/KES
2015-03-31,EUR,KES,99.215,alpha_vantage,EUR/KES
2015-04-01,EUR,KES,99.725,alpha_vantage,EUR/KES
2015-04-02,EUR,KES,100.973,alpha_vantage,EUR/KES
2015-04-03,EUR,KES,101.907,alpha_vantage,EUR/KES
2015-04-06,EUR,KES,101.507,alpha_vantage,EUR/KES
2015-04-07,EUR,KES,100.212,alpha_vantage,EUR/KES
2015-04-08,EUR,KES,99.906,alpha_vantage,EUR/KES
2015-04-09,EUR,KES,99.019,alpha_vantage,EUR/KES
2015-04-10,EUR,KES,98.679,alpha_vantage,EUR/KES
2015-04-13,EUR,KES,98.464,alpha_vantage,EUR/KES
2015-04-14,EUR,KES,99.556,alpha_vantage,EUR/KES
2015-04-15,EUR,KES,99.819,alpha_vantage,EUR/KES
2015-04-16,EUR,KES,100.536,alpha_vantage,EUR/KES
